housing_median_age,population,households,median_income,median_house_value,rooms_per_household,bedrooms_per_household,NEAR BAY,<1H OCEAN,INLAND,ISLAND,NEAR OCEAN
41,322,126,8.3252,452600,6.984126984,1.023809524,1,0,0,0,0
21,2401,1138,8.3014,358500,6.238137083,0.971880492,1,0,0,0,0
52,496,177,7.2574,352100,8.288135593,1.073446328,1,0,0,0,0
52,558,219,5.6431,341300,5.817351598,1.073059361,1,0,0,0,0
52,565,259,3.8462,342200,6.281853282,1.081081081,1,0,0,0,0
52,413,193,4.0368,269700,4.761658031,1.103626943,1,0,0,0,0
52,1094,514,3.6591,299200,4.931906615,0.951361868,1,0,0,0,0
52,1157,647,3.12,241400,4.797527048,1.061823802,1,0,0,0,0
42,1206,595,2.0804,226700,4.294117647,1.117647059,1,0,0,0,0
52,1551,714,3.6912,261100,4.970588235,0.990196078,1,0,0,0,0
52,910,402,3.2031,281500,5.47761194,1.07960199,1,0,0,0,0
52,1504,734,3.2705,241800,4.772479564,1.024523161,1,0,0,0,0
52,1098,468,3.075,213500,5.322649573,1.012820513,1,0,0,0,0
52,345,174,2.6736,191300,4,1.097701149,1,0,0,0,0
52,1212,620,1.9167,159200,4.262903226,1.009677419,1,0,0,0,0
50,697,264,2.125,140000,4.242424242,1.071969697,1,0,0,0,0
52,793,331,2.775,152500,5.939577039,1.048338369,1,0,0,0,0
52,648,303,2.1202,155500,4.052805281,0.9669967,1,0,0,0,0
50,990,419,1.9911,158700,5.343675418,1.085918854,1,0,0,0,0
52,690,275,2.6033,162900,5.465454545,1.083636364,1,0,0,0,0
40,409,166,1.3578,147500,4.524096386,1.108433735,1,0,0,0,0
42,929,366,1.7135,159800,4.478142077,1.00273224,1,0,0,0,0
52,1015,478,1.725,113900,5.09623431,1.131799163,1,0,0,0,0
52,853,325,2.1806,99700,5.193846154,1.036923077,1,0,0,0,0
52,1006,422,2.6,132600,5.27014218,1.035545024,1,0,0,0,0
41,317,119,2.4038,107500,4.495798319,1.033613445,1,0,0,0,0
49,607,239,2.4597,93800,4.728033473,1.020920502,1,0,0,0,0
52,1102,397,1.808,105500,4.780856423,1.060453401,1,0,0,0,0
50,1131,473,1.6424,108900,4.401691332,1.040169133,1,0,0,0,0
52,395,155,1.6875,132000,4.703225806,1.032258065,1,0,0,0,0
49,863,378,1.9274,122300,5.068783069,1.182539683,1,0,0,0,0
52,1168,441,1.9615,115200,4.882086168,1.090702948,1,0,0,0,0
48,1026,335,1.7969,110400,5.737313433,1.220895522,1,0,0,0,0
49,754,329,1.375,104900,5.030395137,1.112462006,1,0,0,0,0
51,1258,536,2.7303,109700,4.972014925,1.070895522,1,0,0,0,0
49,570,264,1.4861,97200,4.602272727,1.068181818,1,0,0,0,0
48,987,374,1.0972,104500,4.807486631,1.155080214,1,0,0,0,0
52,901,403,1.4103,103900,3.749379653,0.967741935,1,0,0,0,0
52,689,309,3.48,191400,4.757281553,1.067961165,1,0,0,0,0
52,1377,696,2.5898,176000,3.494252874,1.027298851,1,0,0,0,0
52,946,395,2.0978,155400,4.215189873,1.060759494,1,0,0,0,0
51,517,249,1.2852,150000,3.759036145,1.248995984,1,0,0,0,0
49,462,189,1.025,118800,3.772486772,1.068783069,1,0,0,0,0
